Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
◥◣SINGULARITY◥◣,2025-05-19T00:00:00.000,2025-05-19T23:00:00.000,2025-05-20T08:00:00.000,"Shaleen, Projekt Gestalten, Ruslan Mays, DJ Hyaluron",Tresor / Globus,/events/2142678,227
Electric Monday,2025-05-19T00:00:00.000,2025-05-19T22:00:00.000,2025-05-20T06:00:00.000,"Frankov, Heinech, Frankie Flowerz",KitKatClub,/events/2140050,37
Possible Musics,2025-05-19T00:00:00.000,2025-05-19T15:00:00.000,2025-05-20T06:00:00.000,"Ava Delay, Ben English, Kenneth Scott",Club der Visionaere,/events/2169900,17
Rudi trifft Haase - DJs at Danneckerstrasse,2025-05-18T00:00:00.000,2025-05-18T15:00:00.000,2025-05-19T20:00:00.000,"Eltron, Hannes Teichmann",Kulturraum Zwingli Kirche e.V.,/events/2172216,9
manic.monday mit Robot Girl,2025-05-19T00:00:00.000,2025-05-19T18:00:00.000,2025-05-20T04:00:00.000,Robot Girl,Minimal Bar,/events/2128701,7
Dark Monday,2025-05-19T00:00:00.000,2025-05-19T22:00:00.000,2025-05-20T04:00:00.000,,Dunckerclub,/events/2136209,6
MONDAY ROAST w. P.Toile [Extended Set],2025-05-19T00:00:00.000,2025-05-19T17:00:00.000,2025-05-20T00:00:00.000,P.Toile,Klunkerkranich,/events/2169102,6
PEPPERMINT LOUNGE,2025-05-19T00:00:00.000,2025-05-19T19:30:00.000,2025-05-20T03:00:00.000,"Robot Girl, Nikolucky",Minimal Bar,/events/2173788,2
encore.une.fois / TUESDAY TECHNO RAVE,2025-05-20T00:00:00.000,2025-05-20T23:00:00.000,2025-05-21T08:00:00.000,"Disguised, Inverse Element, DJ PERIODT, GLIA",OXI,/events/2152211,133
"Dälek (US), Wildsnail",2025-05-20T00:00:00.000,2025-05-20T19:00:00.000,2025-05-20T23:00:00.000,,Neue Zukunft,/events/2024715,76
Juno World x CDV,2025-05-20T00:00:00.000,2025-05-20T15:00:00.000,2025-05-21T06:00:00.000,"Ivan Iacobucci, Stella Fiore, Kamyar Keramati, Orli, Bonza",Club der Visionaere,/events/2163450,48
Smash & HART ∞ Tuesday Rave,2025-05-20T00:00:00.000,2025-05-20T23:00:00.000,2025-05-21T08:00:00.000,"Nat SuPrise, Daniel Boon, DarK LiZZ",Der Weiße Hase,/events/2150630,37
THE UNKNOWN (FREE ENTRY),2025-05-20T00:00:00.000,2025-05-20T20:00:00.000,2025-05-21T02:30:00.000,Lobo (DE),Süss War Gestern,/events/2153743,24
://sektgarten x Lena Brumby [free entry & open air],2025-05-20T00:00:00.000,2025-05-20T16:00:00.000,2025-05-20T23:30:00.000,"Lena Brumby, N'djinn",://about blank,/events/2157941,20
Open Decks & Tischtennis,2025-05-20T00:00:00.000,2025-05-20T18:00:00.000,2025-05-21T04:00:00.000,,Humboldthain Club,/events/2157744,13
Around The Körner #30 with Roberta Deflorio,2025-05-20T00:00:00.000,2025-05-20T20:00:00.000,2025-05-20T23:00:00.000,,Orangerie Neukölln,/events/2155841,7
ALGOMYSTICA,2025-05-20T00:00:00.000,2025-05-20T20:00:00.000,2025-05-21T00:00:00.000,"Microhm, Bilwa",Bar Neun,/events/2169932,5
go.play mit Flip Marlou,2025-05-20T00:00:00.000,2025-05-20T18:00:00.000,2025-05-21T04:00:00.000,Flip Marlou,Minimal Bar,/events/2128702,3
Shameless/Limitless: E-Prime (Scenic Route) + Schnallo (DJ),2025-05-20T00:00:00.000,2025-05-20T19:00:00.000,2025-05-21T01:00:00.000,,8MM,/events/2147279,3
"Aglomystica with Robert Schwarz, Microhm, Bilwa",2025-05-20T00:00:00.000,2025-05-20T20:00:00.000,2025-05-21T02:00:00.000,"Microhm, Bilwa",Bar Neun,/events/2170852,2
FLoHM - Solo Cello Flow Journey,2025-05-20T00:00:00.000,2025-05-20T20:00:00.000,2025-05-20T22:00:00.000,,Rotbart,/events/2154633,1
BLAUES STÜNDCHEN w. Stornoline,2025-05-20T00:00:00.000,2025-05-20T17:00:00.000,2025-05-21T00:00:00.000,,Klunkerkranich,/events/2169115,1
SIGNALS x CYBERTRIBE SHOWCASE with Arkan LIVE,2025-05-21T00:00:00.000,2025-05-21T23:00:00.000,2025-05-22T07:00:00.000,"Arkan, SUE (AT), ENJA, AVO2X",Lokschuppen Berlin,/events/2071720,149
TECHNO MITTWOCH: TUNNEL/TURBINE,2025-05-21T00:00:00.000,2025-05-21T23:00:00.000,2025-05-22T08:00:00.000,"PETDuo, Ilyas S, Khloe",AVA Club,/events/2125449,86
SYMBIOTIKKA at KitKat Club - STELLA BOSSI Special,2025-05-21T00:00:00.000,2025-05-21T22:00:00.000,2025-05-22T07:00:00.000,"STELLA BOSSI, DJ Jordan, C'mon, Fernando De Matos, Bonq, Sebastian Ludvig, Kiar Oscuro, Orion",KitKatClub,/events/2166251,71
Zenith - Take over,2025-05-21T00:00:00.000,2025-05-21T17:00:00.000,2025-05-21T23:00:00.000,"Amanda Mussi, Parallx, Rill, TONI BA, VINVAR, VSK",Giri,/events/2171001,66
ZEL Vol.13 at Club der Visionaere,2025-05-21T00:00:00.000,2025-05-21T15:00:00.000,2025-05-22T09:00:00.000,"Picasso, Francesco Salvadori, Basse Frequenze Soundsystem, Johnson (2)",Club der Visionaere,/events/2140485,59
Tresor New Faces hosted by export,2025-05-21T00:00:00.000,2025-05-21T23:00:00.000,2025-05-22T06:00:00.000,"Mara Menace, Sira, Tizian [GER], Vxlr, Miss Italia",Tresor / Globus,/events/2140312,39
NEIL COWLEY TRIO *live,2025-05-21T00:00:00.000,2025-05-21T19:30:00.000,2025-05-21T23:00:00.000,,Gretchen,/events/2037437,28
://sektgarten x THNTS [free entry & open air],2025-05-21T00:00:00.000,2025-05-21T16:00:00.000,2025-05-21T23:30:00.000,"DJ Dripcore, Lifka, THNTS",://about blank,/events/2157946,23
(lip) service edt. 5 fundraiser,2025-05-21T00:00:00.000,2025-05-21T18:00:00.000,2025-05-22T01:00:00.000,"Bapari, Maara, NORA (1)",TORTE BAR,/events/2162243,14
